NumberType: GTIN-13,,,,,,,,
Prefix: 506112295,,,,,,,,
,,,,,,,,
Number,Status,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
"=""5061122953952""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953969""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953976""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953983""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122953990""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954003""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954010""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954027""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954034""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954041""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954058""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954065""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954072""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954089""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954096""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954102""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954119""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954126""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954133""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954140""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954157""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954164""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954171""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954188""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954195""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954201""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954218""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954225""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954232""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954249""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954256""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954263""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954270""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954287""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954294""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954300""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954317""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954324""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954331""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954348""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954355""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954362""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954379""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954386""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954393""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954409""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954416""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954423""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954430""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954447""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954454""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954461""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954478""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954485""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954492""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954508""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954515""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954522""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954539""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954546""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954553""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954560""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954577""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954584""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954591""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954607""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954614""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954621""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954638""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954645""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954652""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954669""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954676""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954683""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954690""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954706""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954713""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954720""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954737""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954744""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954751""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954768""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954775""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954782""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954799""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954805""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954812""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954829""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954836""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954843""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954850""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954867""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954874""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954881""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954898""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954904""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954911""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954928""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954935""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954942""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954959""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954966""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954973""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954980""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122954997""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955000""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955017""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955024""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955031""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955048""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955055""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955062""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955079""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955086""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955093""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955109""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955116""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955123""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955130""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955147""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955154""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955161""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955178""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955185""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955192""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955208""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955215""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955222""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955239""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955246""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955253""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955260""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955277""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955284""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955291""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955307""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955314""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955321""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955338""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955345""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955352""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955369""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955376""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955383""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955390""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955406""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955413""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955420""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955437""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955444""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955451""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955468""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955475""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955482""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955499""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955505""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955512""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955529""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955536""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955543""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955550""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955567""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955574""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955581""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955598""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955604""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955611""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955628""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955635""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955642""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955659""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955666""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955673""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955680""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955697""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955703""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955710""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955727""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955734""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955741""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955758""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955765""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955772""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955789""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955796""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955802""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955819""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955826""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955833""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955840""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955857""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955864""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955871""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955888""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955895""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955901""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955918""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955925""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955932""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955949""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955956""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955963""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955970""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955987""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122955994""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956007""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956014""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956021""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956038""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956045""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956052""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956069""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956076""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956083""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956090""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956106""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956113""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956120""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956137""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956144""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956151""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956168""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956175""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956182""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956199""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956205""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956212""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956229""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956236""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956243""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956250""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956267""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956274""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956281""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956298""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956304""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956311""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956328""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956335""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956342""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956359""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956366""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956373""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956380""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956397""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956403""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956410""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956427""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956434""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956441""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956458""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956465""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956472""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956489""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956496""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956502""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956519""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956526""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956533""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956540""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956557""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956564""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956571""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956588""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956595""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956601""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956618""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956625""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956632""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956649""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956656""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956663""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956670""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956687""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956694""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956700""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956717""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956724""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956731""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956748""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956755""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956762""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956779""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956786""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956793""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956809""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956816""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956823""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956830""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956847""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956854""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956861""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956878""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956885""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956892""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956908""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956915""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956922""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956939""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956946""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956953""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956960""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956977""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956984""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122956991""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957004""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957011""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957028""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957035""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957042""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957059""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957066""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957073""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957080""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957097""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957103""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957110""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957127""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957134""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957141""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957158""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957165""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957172""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957189""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957196""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957202""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957219""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957226""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957233""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957240""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957257""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957264""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957271""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957288""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957295""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957301""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957318""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957325""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957332""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957349""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957356""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957363""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957370""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957387""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957394""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957400""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957417""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957424""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957431""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957448""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957455""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957462""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957479""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957486""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957493""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957509""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957516""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957523""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957530""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957547""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957554""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957561""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957578""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957585""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957592""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957608""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957615""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957622""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957639""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957646""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957653""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957660""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957677""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957684""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957691""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957707""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957714""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957721""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957738""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957745""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957752""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957769""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957776""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957783""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957790""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957806""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957813""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957820""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957837""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957844""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957851""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957868""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957875""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957882""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957899""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957905""",,,,,,,,"=""21/03/2026 11:16:56"""
"=""5061122957912""",,,,,,,,"=""21/03/2026 11:16:56"""
